"PriorityRank","RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","MinTestLevel","LastGoodBuild","InterveningBuilds","Cases","RigHours","TestMinutes","CumulativeRigHours","PriorityScore","ActionCode","IsThisWeek","RecommendedAction"
"170","REQ-0329","The system shall provide power management behaviour case 329","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","P-021","Ulrike Dalgleish","Avionics","Integration","","0","1","2.50","69","552.50","52.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"171","REQ-0502","The subsystem shall complete, within budget, payload release mechanism behaviour case 502","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-011","Katya Fairweather","Integration & Test","HIL","28","29","1","2.50","184","555.00","51.00","REVIEW_THEN_RERUN","0","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"172","REQ-0297","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 297","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-017","Quentin Zielinski","Avionics","Integration","33","12","1","0.00","170","555.00","50.00","RERUN","0","Evidence was valid at build 33 but the subsystem has changed in 12 builds since. Re-run on the release candidate."
"173","REQ-0518","The system shall provide payload release mechanism behaviour case 518","Functional","Nice","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","Integration","","0","1","0.00","47","555.00","49.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"174","REQ-0517","The subsystem shall complete, within budget, payload release mechanism behaviour case 517","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-003","Camille Villalobos","Integration & Test","HIL","","0","1","2.50","150","557.50","49.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"175","REQ-0004","The system shall provide power management behaviour case 4","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","P-009","Imani Petrovic","Avionics","Integration","","0","1","0.00","64","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"176","REQ-0110","The system shall provide command & telemetry link behaviour case 110","Functional","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","P-004","Dmitri Eriksen","Payload","Integration","","0","1","0.00","130","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"177","REQ-0256","The subsystem shall complete, within budget, power management behaviour case 256","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","P-006","Farid Saltzman","Ground Segment","HIL","","0","1","0.00","126","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"178","REQ-0326","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 326","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-004","Dmitri Eriksen","Payload","Integration","","0","3","0.00","429","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"179","REQ-0373","The system shall provide command & telemetry link behaviour case 373","Functional","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","P-004","Dmitri Eriksen","Payload","Integration","","0","1","0.00","140","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"180","REQ-0437","The subsystem shall complete, within budget, power management behaviour case 437","Performance","ShouldShip","PWR-MGMT","Power Management","Mission","P-021","Ulrike Dalgleish","Avionics","HIL","","0","1","0.00","49","557.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"181","REQ-0532","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 532","Performance","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-002","Bruno Oyelaran","Ground Segment","HIL","","0","3","5.00","479","562.50","48.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"182","REQ-0128","The system shall provide payload release mechanism behaviour case 128","Functional","Nice","REL-MECH","Payload Release Mechanism","Safety","P-013","Mei Thackeray","Avionics","Integration","49","22","3","0.00","541","562.50","47.00","RERUN","0","Evidence was valid at build 49 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"183","REQ-0138","The interface shall exchange, without loss, flight control interface behaviour case 138","Interface","Nice","FLT-CTRL","Flight Control Interface","Safety","P-009","Imani Petrovic","Avionics","Integration","65","17","4","2.50","458","565.00","47.00","RERUN","0","Evidence was valid at build 65 but the subsystem has changed in 17 builds since. Re-run on the release candidate."
"184","REQ-0454","The interface shall exchange, without loss, payload release mechanism behaviour case 454","Interface","Nice","REL-MECH","Payload Release Mechanism","Safety","P-005","Elena Lindqvist","Avionics","Integration","34","28","2","2.50","367","567.50","47.00","RERUN","0","Evidence was valid at build 34 but the subsystem has changed in 28 builds since. Re-run on the release candidate."
"185","REQ-0120","The subsystem shall complete, within budget, flight control interface behaviour case 120","Performance","Nice","FLT-CTRL","Flight Control Interface","Safety","P-017","Quentin Zielinski","Avionics","HIL","63","18","2","5.00","131","572.50","47.00","RERUN","0","Evidence was valid at build 63 but the subsystem has changed in 18 builds since. Re-run on the release candidate."
"186","REQ-0396","The subsystem shall complete, within budget, payload release mechanism behaviour case 396","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-001","Aditi Halvorsen","Avionics","HIL","71","12","2","5.00","313","577.50","47.00","RERUN","0","Evidence was valid at build 71 but the subsystem has changed in 12 builds since. Re-run on the release candidate."
"187","REQ-0031","The subsystem shall complete, within budget, payload release mechanism behaviour case 31","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-014","Nils Castellan","Ground Segment","HIL","","0","4","0.00","679","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"188","REQ-0058","The subsystem shall complete, within budget, flight control interface behaviour case 58","Performance","Nice","FLT-CTRL","Flight Control Interface","Safety","P-017","Quentin Zielinski","Avionics","HIL","","0","2","0.00","283","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"189","REQ-0064","The interface shall exchange, without loss, flight control interface behaviour case 64","Interface","Nice","FLT-CTRL","Flight Control Interface","Safety","P-015","Olabisi Jindal","Integration & Test","Integration","","0","1","0.00","179","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"190","REQ-0108","The subsystem shall complete, within budget, structural interface behaviour case 108","Performance","Nice","STRUCT-I","Structural Interface","Safety","P-021","Ulrike Dalgleish","Avionics","HIL","","0","1","0.00","202","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"191","REQ-0284","The subsystem shall complete, within budget, payload release mechanism behaviour case 284","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-017","Quentin Zielinski","Avionics","HIL","","0","1","0.00","207","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"192","REQ-0361","The subsystem shall complete, within budget, payload release mechanism behaviour case 361","Performance","Nice","REL-MECH","Payload Release Mechanism","Safety","P-018","Rafael Grigorescu","Ground Segment","HIL","","0","1","0.00","56","577.50","45.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"193","REQ-0160","The system shall provide navigation & sensor fusion behaviour case 160","Functional","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-004","Dmitri Eriksen","Payload","Integration","63","2","2","0.00","437","577.50","43.00","RERUN","0","Evidence was valid at build 63 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"194","REQ-0311","The system shall provide ground control software behaviour case 311","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","P-003","Camille Villalobos","Integration & Test","Integration","","0","1","0.00","80","577.50","43.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"195","REQ-0367","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 367","Interface","ShouldShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-017","Quentin Zielinski","Avionics","Integration","54","5","2","0.00","154","577.50","43.00","RERUN","0","Evidence was valid at build 54 but the subsystem has changed in 5 builds since. Re-run on the release candidate."
"196","REQ-0453","The system shall provide power management behaviour case 453","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","P-006","Farid Saltzman","Ground Segment","Integration","32","4","2","0.00","206","577.50","43.00","RERUN","0","Evidence was valid at build 32 but the subsystem has changed in 4 builds since. Re-run on the release candidate."
"197","REQ-0383","The system shall provide ground control software behaviour case 383","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","P-009","Imani Petrovic","Avionics","Integration","30","11","2","2.50","329","580.00","41.00","REVIEW_THEN_RERUN","0","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"198","REQ-0007","The subsystem shall complete, within budget, ground control software behaviour case 7","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","P-018","Rafael Grigorescu","Ground Segment","HIL","","0","1","0.00","130","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"199","REQ-0117","The subsystem shall complete, within budget, ground control software behaviour case 117","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","P-010","Jonas Weatherby","Ground Segment","HIL","","0","3","0.00","478","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"200","REQ-0212","The subsystem shall complete, within budget, diagnostics & logging behaviour case 212","Performance","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","P-015","Olabisi Jindal","Integration & Test","HIL","","0","2","0.00","407","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"201","REQ-0299","The system shall provide ground control software behaviour case 299","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","P-012","Liam Moreau","Payload","Integration","","0","3","0.00","561","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"202","REQ-0335","The system shall provide diagnostics & logging behaviour case 335","Functional","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","P-018","Rafael Grigorescu","Ground Segment","Integration","","0","2","0.00","167","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"203","REQ-0508","The system shall provide diagnostics & logging behaviour case 508","Functional","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","P-001","Aditi Halvorsen","Avionics","Integration","","0","4","0.00","407","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"204","REQ-0516","The system shall provide ground control software behaviour case 516","Functional","ShouldShip","GND-CTRL","Ground Control Software","Support","P-001","Aditi Halvorsen","Avionics","Integration","","0","1","0.00","98","580.00","39.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"205","REQ-0448","The subsystem shall complete, within budget, power management behaviour case 448","Performance","Nice","PWR-MGMT","Power Management","Mission","P-018","Rafael Grigorescu","Ground Segment","HIL","","0","1","2.50","173","582.50","38.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"206","REQ-0048","The subsystem shall complete, within budget, command & telemetry link behaviour case 48","Performance","Nice","COMM-LNK","Command & Telemetry Link","Mission","P-016","Priya Quintana","Payload","HIL","","0","1","0.00","108","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"207","REQ-0066","The subsystem shall complete, within budget, power management behaviour case 66","Performance","Nice","PWR-MGMT","Power Management","Mission","P-013","Mei Thackeray","Avionics","HIL","","0","2","0.00","105","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"208","REQ-0095","The system shall provide command & telemetry link behaviour case 95","Functional","Nice","COMM-LNK","Command & Telemetry Link","Mission","P-011","Katya Fairweather","Integration & Test","Integration","","0","1","0.00","163","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"209","REQ-0151","The system shall provide power management behaviour case 151","Functional","Nice","PWR-MGMT","Power Management","Mission","P-017","Quentin Zielinski","Avionics","Integration","","0","1","0.00","130","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"210","REQ-0220","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 220","Performance","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","P-020","Tomas Ustinov","Payload","HIL","","0","2","0.00","173","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"211","REQ-0307","The subsystem shall complete, within budget, power management behaviour case 307","Performance","Nice","PWR-MGMT","Power Management","Mission","P-009","Imani Petrovic","Avionics","HIL","","0","3","0.00","330","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"212","REQ-0310","The system shall provide power management behaviour case 310","Functional","Nice","PWR-MGMT","Power Management","Mission","P-020","Tomas Ustinov","Payload","Integration","","0","1","0.00","22","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"213","REQ-0462","The subsystem shall complete, within budget, command & telemetry link behaviour case 462","Performance","Nice","COMM-LNK","Command & Telemetry Link","Mission","P-010","Jonas Weatherby","Ground Segment","HIL","","0","1","0.00","174","582.50","34.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"214","REQ-0152","The subsystem shall complete, within budget, diagnostics & logging behaviour case 152","Performance","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","P-018","Rafael Grigorescu","Ground Segment","HIL","58","5","2","2.50","305","585.00","34.00","RERUN","0","Evidence was valid at build 58 but the subsystem has changed in 5 builds since. Re-run on the release candidate."
"215","REQ-0355","The interface shall exchange, without loss, diagnostics & logging behaviour case 355","Interface","ShouldShip","DIAG-LOG","Diagnostics & Logging","Support","P-015","Olabisi Jindal","Integration & Test","Integration","69","2","3","5.00","197","590.00","34.00","RERUN","0","Evidence was valid at build 69 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"216","REQ-0107","The subsystem shall complete, within budget, ground control software behaviour case 107","Performance","ShouldShip","GND-CTRL","Ground Control Software","Support","P-019","Sana Nakamura","Integration & Test","HIL","69","2","3","7.50","457","597.50","34.00","RERUN","0","Evidence was valid at build 69 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"217","REQ-0216","The interface shall exchange, without loss, command & telemetry link behaviour case 216","Interface","Nice","COMM-LNK","Command & Telemetry Link","Mission","P-009","Imani Petrovic","Avionics","Integration","49","6","4","5.00","531","602.50","32.00","RERUN","0","Evidence was valid at build 49 but the subsystem has changed in 6 builds since. Re-run on the release candidate."
"218","REQ-0114","The system shall provide navigation & sensor fusion behaviour case 114","Functional","Nice","NAV-SENS","Navigation & Sensor Fusion","Mission","P-003","Camille Villalobos","Integration & Test","Integration","67","2","4","0.00","347","602.50","29.00","RERUN","0","Evidence was valid at build 67 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"219","REQ-0241","The system shall provide ground control software behaviour case 241","Functional","Nice","GND-CTRL","Ground Control Software","Support","P-015","Olabisi Jindal","Integration & Test","Integration","","0","1","0.00","40","602.50","29.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"220","REQ-0131","The interface shall exchange, without loss, power management behaviour case 131","Interface","Nice","PWR-MGMT","Power Management","Mission","P-021","Ulrike Dalgleish","Avionics","Integration","46","2","1","2.50","85","605.00","29.00","RERUN","0","Evidence was valid at build 46 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"221","REQ-0184","The subsystem shall complete, within budget, power management behaviour case 184","Performance","Nice","PWR-MGMT","Power Management","Mission","P-016","Priya Quintana","Payload","HIL","48","2","2","2.50","66","607.50","29.00","RERUN","0","Evidence was valid at build 48 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"222","REQ-0076","The subsystem shall complete, within budget, ground control software behaviour case 76","Performance","Nice","GND-CTRL","Ground Control Software","Support","P-020","Tomas Ustinov","Payload","HIL","","0","1","0.00","207","607.50","25.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"223","REQ-0313","The interface shall exchange, without loss, diagnostics & logging behaviour case 313","Interface","Nice","DIAG-LOG","Diagnostics & Logging","Support","P-003","Camille Villalobos","Integration & Test","Integration","","0","4","0.00","707","607.50","25.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"224","REQ-0323","The system shall provide ground control software behaviour case 323","Functional","Nice","GND-CTRL","Ground Control Software","Support","P-007","Grace Baptiste","Integration & Test","Integration","","0","3","0.00","403","607.50","25.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"225","REQ-0366","The system shall provide ground control software behaviour case 366","Functional","Nice","GND-CTRL","Ground Control Software","Support","P-004","Dmitri Eriksen","Payload","Integration","","0","2","0.00","249","607.50","25.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"226","REQ-0079","The subsystem shall complete, within budget, diagnostics & logging behaviour case 79","Performance","Nice","DIAG-LOG","Diagnostics & Logging","Support","P-013","Mei Thackeray","Avionics","HIL","69","2","1","2.50","116","610.00","20.00","RERUN","0","Evidence was valid at build 69 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
